Cost,Gate Count,Optimization Level,Runtime,Transpile Time
2.0,2.0,1,4.194696426391602,0.0076966285705566
2.0,2.0,2,4.4391162395477295,0.0083174705505371
2.0,2.0,3,4.097161054611206,0.0118293762207031
3.0,3.0,0,4.354902744293213,0.0045585632324218
3.0,3.0,1,4.115886688232422,0.0080034732818603
3.0,3.0,2,4.121510744094849,0.006850242614746
3.0,3.0,3,4.198129892349243,0.009467601776123
6.0,6.0,0,4.412304162979126,0.00498628616333
3.0,3.0,1,4.38592529296875,0.0095057487487792
3.0,3.0,2,4.207457780838013,0.0095527172088623
3.0,3.0,3,4.242594003677368,0.0144941806793212
8.0,8.0,0,4.6589720249176025,0.0064935684204101
5.0,5.0,1,4.24372673034668,0.0105321407318115
5.0,5.0,2,4.248029708862305,0.0106265544891357
5.0,5.0,3,4.369529962539673,0.0122303962707519
7.0,7.0,0,4.357903003692627,0.005491018295288
4.0,4.0,1,4.279913663864136,0.0079791545867919
4.0,4.0,2,4.349407434463501,0.010591983795166
4.0,4.0,3,4.241092205047607,0.0079023838043212
6.0,6.0,0,4.239164590835571,0.0039889812469482
6.0,6.0,1,4.359805345535278,0.0040009021759033
6.0,6.0,2,4.250764608383179,0.0080254077911376
6.0,6.0,3,4.343465566635132,0.0060899257659912
5.0,5.0,0,4.068667888641357,0.0039913654327392
4.0,4.0,1,4.160562038421631,0.0096418857574462
4.0,4.0,2,4.355766534805298,0.0103986263275146
4.0,4.0,3,4.144699811935425,0.0122120380401611
12.0,12.0,0,4.265980958938599,0.0044918060302734
4.0,4.0,1,4.243562936782837,0.0080540180206298
4.0,4.0,2,4.295101404190064,0.0115370750427246
4.0,4.0,3,4.1495232582092285,0.0164556503295898
50.0,10.0,0,4.139385461807251,0.0085372924804687
5.0,1.0,1,4.078344345092773,0.0045597553253173
5.0,1.0,2,4.1826088428497314,0.005101203918457
5.0,1.0,3,4.210157871246338,0.0085418224334716
7.0,7.0,0,4.148206472396851,0.0064203739166259
1.0,1.0,1,4.276082754135132,0.009021520614624
1.0,1.0,2,4.172024250030518,0.0085601806640625
1.0,1.0,3,4.198386669158936,0.0124828815460205
10.0,10.0,0,4.117536306381226,0.0085985660552978
5.0,5.0,1,4.107612133026123,0.0096566677093505
5.0,5.0,2,4.090370178222656,0.0165901184082031
5.0,5.0,3,4.249728202819824,0.0167782306671142
9.0,9.0,0,4.131678581237793,0.0054969787597656
6.0,6.0,1,4.122511386871338,0.0084891319274902
6.0,6.0,2,4.180377960205078,0.0105502605438232
6.0,6.0,3,4.168050527572632,0.0160715579986572
21.0,5.0,0,4.315457344055176,0.0095167160034179
6.0,2.0,1,4.268566370010376,0.0064890384674072
6.0,2.0,2,4.1203601360321045,0.0069811344146728
6.0,2.0,3,4.334118127822876,0.0115220546722412
9.0,9.0,0,4.275697469711304,0.0049872398376464
9.0,9.0,1,4.153246402740479,0.0074033737182617
9.0,9.0,2,4.477997779846191,0.0085425376892089
9.0,9.0,3,4.373718738555908,0.0106017589569091
16.0,16.0,0,4.076458692550659,0.0065376758575439
10.0,10.0,1,4.291147708892822,0.0095670223236083
10.0,10.0,2,4.283834218978882,0.0115022659301757
10.0,10.0,3,4.192710638046265,0.0158829689025878
11.0,11.0,0,4.321138381958008,0.0065281391143798
6.0,6.0,1,4.325802564620972,0.0103447437286376
6.0,6.0,2,4.179965972900391,0.0105507373809814
6.0,6.0,3,4.308206796646118,0.0149118900299072
18.0,18.0,0,4.17814040184021,0.0055820941925048
5.0,5.0,1,4.2440173625946045,0.0084824562072753
5.0,5.0,2,4.22597336769104,0.0102760791778564
5.0,5.0,3,4.166297197341919,0.0134532451629638
8.0,4.0,0,4.401776552200317,0.0049872398376464
8.0,4.0,1,4.322908639907837,0.0096354484558105
8.0,4.0,2,4.276098251342773,0.0079739093780517
8.0,4.0,3,4.439854145050049,0.0115365982055664
26.0,10.0,0,4.214328765869141,0.0105793476104736
8.0,4.0,1,4.283020973205566,0.0095040798187255
8.0,4.0,2,4.224311590194702,0.0103352069854736
8.0,4.0,3,4.282677888870239,0.0161528587341308
14.0,14.0,0,4.2736101150512695,0.010524034500122
11.0,11.0,1,4.311948537826538,0.0094165802001953
11.0,11.0,2,4.228668212890625,0.0134785175323486
11.0,11.0,3,4.154168367385864,0.0165252685546875
13.0,13.0,0,4.282612562179565,0.0069832801818847
8.0,8.0,1,4.3955159187316895,0.0160079002380371
8.0,8.0,2,4.328320264816284,0.0115301609039306
8.0,8.0,3,4.346198558807373,0.0159933567047119
8.0,8.0,0,4.453767538070679,0.0049850940704345
7.0,7.0,1,4.2451794147491455,0.009505271911621
7.0,7.0,2,4.241236686706543,0.0114836692810058
7.0,7.0,3,4.230212926864624,0.0130352973937988
19.0,19.0,0,6.422230243682861,0.0085964202880859
6.0,6.0,1,4.235751628875732,0.0086002349853515
6.0,6.0,2,4.238126754760742,0.0117068290710449
6.0,6.0,3,4.34675145149231,0.0133280754089355
9.0,5.0,0,4.068954706192017,0.0055170059204101
9.0,5.0,1,4.424052953720093,0.0066535472869873
9.0,5.0,2,4.302566289901733,0.0082771778106689
9.0,5.0,3,4.146091938018799,0.0156035423278808
12.0,12.0,0,4.298752069473267,0.0054957866668701
6.0,6.0,1,4.084036588668823,0.0085470676422119
6.0,6.0,2,4.13896107673645,0.0095722675323486
6.0,6.0,3,4.147637128829956,0.0130443572998046
15.0,15.0,0,4.265932559967041,0.0065267086029052
11.0,11.0,1,4.269897937774658,0.0095064640045166
11.0,11.0,2,4.057500123977661,0.0125422477722167
11.0,11.0,3,4.230889320373535,0.0145115852355957
18.0,18.0,0,4.282659769058228,0.0069797039031982
10.0,10.0,1,4.137667417526245,0.0109972953796386
10.0,10.0,2,4.355836391448975,0.0126404762268066
10.0,10.0,3,4.518538236618042,0.0170168876647949
13.0,13.0,0,4.148511171340942,0.0069813728332519
6.0,6.0,1,4.195074558258057,0.0105447769165039
6.0,6.0,2,4.200106620788574,0.0111398696899414
6.0,6.0,3,4.099048376083374,0.0147249698638916
16.0,16.0,0,4.207597732543945,0.0059826374053955
8.0,8.0,1,4.351622819900513,0.0090842247009277
8.0,8.0,2,4.22473931312561,0.0114996433258056
8.0,8.0,3,4.489344358444214,0.0131394863128662
41.0,13.0,0,4.219781398773193,0.009023904800415
11.0,7.0,1,4.183455228805542,0.0059857368469238
11.0,7.0,2,4.302293062210083,0.0090489387512207
11.0,7.0,3,4.2965521812438965,0.013071060180664
10.0,6.0,0,4.22615647315979,0.005983829498291
10.0,6.0,1,4.343219995498657,0.0074696540832519
10.0,6.0,2,4.339099407196045,0.0080072879791259
10.0,6.0,3,4.242968797683716,0.0124294757843017
62.0,22.0,0,4.266602516174316,0.0141167640686035
7.0,3.0,1,4.226121425628662,0.0089759826660156
7.0,3.0,2,4.198465347290039,0.0080556869506835
7.0,3.0,3,4.1423516273498535,0.0125420093536376
12.0,12.0,0,4.112652778625488,0.0049872398376464
12.0,12.0,1,4.3811423778533936,0.0105400085449218
12.0,12.0,2,4.455347061157227,0.0070202350616455
12.0,12.0,3,4.195247173309326,0.0124778747558593
