cost,gate count,tqc3TT,tqc3RT,tqc3GC,tqc2TT,tqc2RT,tqc2GC,tqc1TT,tqc1RT,tqc1GC,tqc0TT,tqc0RT,tqc0GC
1,1,0.014617586135864257,0.10260220368703206,1.2333333333333334,0.009739192326863606,0.10990751584370931,1.2333333333333334,0.008254520098368327,0.10769654909769694,1.2333333333333334,0.005948638916015625,0.11218334833780924,1.9333333333333333
2,1,0.016684293746948242,0.10297714074452718,3.0,0.011653423309326172,0.10874066352844239,3.0,0.009845797220865886,0.11169679164886474,3.0,0.007585509618123373,0.11084379355112711,3.0
2,2,0.01696612040201823,0.10783971945444742,2.3666666666666667,0.01162857214609782,0.10940361817677816,2.3666666666666667,0.010037994384765625,0.11491440137227377,2.3666666666666667,0.006934301058451334,0.11164233684539795,4.266666666666667
3,2,0.019214431444803875,0.10789108276367188,4.0,0.013630318641662597,0.11249595483144124,4.0,0.011846597989400227,0.11266586780548096,4.0,0.008629719416300455,0.10804842313130697,5.066666666666666
3,3,0.02206840515136719,0.10362064838409424,3.433333333333333,0.013329450289408367,0.10784564812978109,3.433333333333333,0.017632007598876953,0.11176316738128662,3.433333333333333,0.007896939913431803,0.11243181228637696,6.333333333333333
4,2,0.017646288871765135,0.10397794246673583,5.8,0.012029202779134114,0.11073649724324544,5.8,0.010627428690592447,0.11221899191538492,5.8,0.007784295082092285,0.11754828294118246,6.0
4,3,0.021117297808329265,0.1031006415685018,5.1,0.01490632692972819,0.11089614232381186,5.1,0.013183140754699707,0.10831236044565837,5.1,0.009183526039123535,0.11392246087392172,6.866666666666666
4,4,0.020760512351989745,0.10338761806488037,3.6,0.014651679992675781,0.10857690970102946,3.6,0.015894261995951335,0.11190533638000488,3.6,0.008803184827168782,0.11011273860931396,9.066666666666666
5,1,0.014684112866719563,0.10819025834401448,1.0,0.007382965087890625,0.11346564292907715,1.0,0.006783811251322428,0.11135064760843913,1.0,0.009390012423197428,0.11416219075520834,5.2
5,3,0.021993430455525716,0.10461541016896565,6.366666666666666,0.015805284182230633,0.1141077438990275,6.366666666666666,0.01630705197652181,0.10379694302876791,6.366666666666666,0.009613768259684245,0.10621186097462972,9.133333333333333
5,4,0.0241238276163737,0.10200268427530924,5.6,0.018316435813903808,0.11129201253255208,5.6,0.015439430872599283,0.10963378747304281,5.6,0.01044007142384847,0.10798364480336507,9.866666666666667
5,5,0.02281320095062256,0.10134371121724446,5.166666666666667,0.016324369112650554,0.12020882765452066,5.166666666666667,0.014452346165974935,0.10773826440175374,5.166666666666667,0.009390934308369955,0.11021067301432291,12.6
6,2,0.020021208127339683,0.10471141338348389,2.4,0.011548129717508952,0.10947800477345784,2.4,0.010641177495320639,0.11290285587310792,2.4,0.010831952095031738,0.11438449223836263,7.6
6,3,0.01966531276702881,0.10371535619099935,7.0,0.01338510513305664,0.10936526457468669,7.0,0.014635411898295085,0.11380716164906819,7.0,0.008268944422403971,0.11285016536712647,9.0
6,4,0.026257785161336263,0.09935237566630045,7.366666666666666,0.019859520594278972,0.10819700558980307,7.366666666666666,0.015141860644022623,0.11078786055246989,7.366666666666666,0.010231312115987141,0.10879622300465902,10.666666666666666
6,5,0.024331029256184897,0.10050323804219564,6.3,0.01793530782063802,0.11002338727315267,6.3,0.016148924827575684,0.10927098592122396,6.3,0.010513869921366374,0.11199417114257812,11.133333333333333
6,6,0.023247869809468587,0.10472613175710042,5.0,0.016702787081400553,0.11009822686513265,5.0,0.01488200028737386,0.11001127560933431,5.0,0.009311922391255696,0.11098820368448893,13.733333333333333
7,2,0.02119585673014323,0.10771780014038086,4.0,0.015726987520853677,0.10981460412343343,4.0,0.01159498691558838,0.1152576208114624,4.0,0.011274242401123047,0.11718487739562988,7.1
7,3,0.022996934254964192,0.10847628911336263,3.6333333333333333,0.0166866143544515,0.11207181612650553,3.6333333333333333,0.012499864896138508,0.11282777786254883,3.6333333333333333,0.01206801732381185,0.11365031401316325,10.666666666666666
7,4,0.022564355532328287,0.0998110055923462,7.233333333333333,0.015855256716410318,0.11184566020965576,7.233333333333333,0.014018535614013672,0.11062845389048258,7.233333333333333,0.009254129727681477,0.12045910358428955,10.666666666666666
7,5,0.024838725725809734,0.1022394339243571,7.5,0.02087858517964681,0.1116585652033488,7.5,0.01532740592956543,0.11033727327982584,7.5,0.010614752769470215,0.10697361628214518,12.466666666666667
7,6,0.02659918467203776,0.1034233808517456,7.433333333333334,0.01935296058654785,0.10934216181437174,7.433333333333334,0.017111682891845705,0.11022384166717529,7.433333333333334,0.01147301197052002,0.10909016927083333,16.266666666666666
7,7,0.025648768742879233,0.09977307319641113,4.833333333333333,0.01953439712524414,0.10773146947224935,4.833333333333333,0.01808210213979085,0.11024338404337565,4.833333333333333,0.009791207313537598,0.11104669570922851,15.933333333333334
8,3,0.02687042554219564,0.09904112021128336,5.033333333333333,0.015175453821818034,0.11554174423217774,5.033333333333333,0.013748264312744141,0.10696839491526286,5.033333333333333,0.013721068700154623,0.10874600410461426,11.233333333333333
8,4,0.023732709884643554,0.10570991039276123,7.2,0.014696327845255534,0.11067293485005697,7.2,0.01526647408803304,0.10796550114949545,7.2,0.00834218660990397,0.10948426723480224,12.0
8,5,0.024852800369262695,0.10153543949127197,9.266666666666667,0.017821884155273436,0.10660839875539144,9.266666666666667,0.015560110410054525,0.11080902417500814,9.266666666666667,0.010025819142659506,0.11278320948282877,13.666666666666666
8,6,0.02884854475657145,0.09642109076182047,8.8,0.019431138038635255,0.11041748523712158,8.8,0.01709275245666504,0.10793805122375488,8.8,0.01110999584197998,0.10576205253601074,15.866666666666667
8,7,0.026147023836771647,0.10135173002878825,7.466666666666667,0.019585760434468587,0.10897541840871175,7.466666666666667,0.01738630930582682,0.1058805783589681,7.466666666666667,0.011441469192504883,0.11604448159535725,16.333333333333332
8,8,0.023511950174967447,0.10220686594645183,5.7,0.019707441329956055,0.1081395149230957,5.7,0.015158541997273763,0.11406850020090739,5.7,0.009636910756429036,0.107575790087382,17.733333333333334
9,3,0.022466135025024415,0.10056365331013997,6.766666666666667,0.016243704160054526,0.11356394290924073,6.766666666666667,0.01228180726369222,0.11115469137827555,6.8,0.01268754800160726,0.11260254383087158,11.9
9,4,0.02680228551228841,0.10202366511027018,6.0,0.01666734218597412,0.11101154486338298,6.0,0.014955917994181315,0.10580325126647949,6.033333333333333,0.013440823554992676,0.11354476610819499,11.8
9,5,0.02615654468536377,0.09798595110575357,4.833333333333333,0.018732142448425294,0.10933963457743327,4.833333333333333,0.014507198333740234,0.11315237681070964,4.966666666666667,0.01661090850830078,0.11011288166046143,13.833333333333334
9,6,0.026541884740193686,0.09841100374857585,8.766666666666667,0.019588541984558106,0.11798677444458008,8.766666666666667,0.017052594820658365,0.10469067096710205,8.766666666666667,0.011288611094156902,0.1107852856318156,16.133333333333333
9,7,0.026995253562927247,0.10509274005889893,8.733333333333333,0.019830171267191568,0.10609131654103597,8.733333333333333,0.017317581176757812,0.10956406593322754,8.733333333333333,0.011410204569498698,0.10989830493927003,17.8
9,8,0.026885135968526205,0.10361096064249674,7.866666666666666,0.020244860649108888,0.10834757486979167,7.866666666666666,0.0177614688873291,0.10677449703216553,7.866666666666666,0.014017367362976074,0.10712410608927408,18.666666666666668
9,9,0.024624927838643392,0.10643721421559652,6.0,0.018175387382507326,0.1115685224533081,6.0,0.016240549087524415,0.11333301862080893,6.0,0.010047245025634765,0.11528131167093912,21.266666666666666
10,2,0.019846240679423015,0.10366902351379395,1.9333333333333333,0.00790255069732666,0.11642813682556152,1.9333333333333333,0.006814146041870117,0.11209880510965983,1.9333333333333333,0.010040497779846192,0.11330121358235677,8.8
10,4,0.025931382179260255,0.10094839731852213,6.366666666666666,0.015851108233133952,0.11362102031707763,6.366666666666666,0.01381533145904541,0.11103112697601318,6.4,0.012247260411580403,0.11171948909759521,11.633333333333333
10,5,0.029651562372843426,0.09558907349904379,7.066666666666666,0.01878653367360433,0.11101679007212321,7.066666666666666,0.01653899351755778,0.11070940494537354,7.1,0.01407325267791748,0.11153414249420165,15.466666666666667
