Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
1,5.286597108840942,65.0,5.214803647994995,1.0,5.279027366638184,1.0,5.179156541824341,1.0,3,200.0
2,5.238708734512329,72.2,5.280246686935425,9.0,5.289097023010254,9.0,5.28359546661377,11.0,1,200.0
1,5.242396879196167,43.8,5.253233623504639,9.0,5.29544587135315,9.0,5.254463386535645,11.0,1,200.0
3,5.275738668441773,76.0,5.322093725204468,3.0,5.289279365539551,3.0,5.184951972961426,3.0,3,200.0
2,5.300070953369141,107.0,5.292046117782593,3.0,5.294809579849243,3.0,5.214084959030151,3.0,3,200.0
1,5.20942497253418,147.6,5.258951950073242,7.0,5.280240249633789,5.0,5.476287078857422,8.0,2,200.0
1,5.258204746246338,18.8,5.189487075805664,8.0,5.27665605545044,7.0,5.213978338241577,7.0,2,200.0
1,5.242774200439453,114.0,5.26238899230957,1.0,5.2372008800506595,1.0,5.261430788040161,1.0,2,200.0
2,5.232609605789184,138.6,5.170963859558105,10.0,5.1311908721923825,10.0,5.252595615386963,10.0,2,200.0
1,5.184176397323609,6.0,5.272586870193481,0.0,5.208287620544434,0.0,5.286382532119751,0.0,1,200.0
3,5.282914447784424,73.0,5.275726938247681,5.0,5.332819509506225,4.0,5.158509635925293,8.0,2,200.0
2,5.240703535079956,154.0,5.150545310974121,3.0,5.2320009708404545,3.0,5.156017303466797,10.0,1,200.0
1,5.181903409957886,128.0,5.169705772399903,1.0,5.289948129653931,1.0,5.165972948074341,1.0,3,200.0
2,5.139340114593506,42.6,5.1903211116790775,4.0,5.192213249206543,4.0,5.142884683609009,10.0,1,200.0
2,5.363078546524048,59.4,5.3304180145263675,4.0,5.833490228652954,4.0,5.2092842102050785,9.0,1,200.0
2,5.425825357437134,18.0,5.2156455516815186,6.0,5.283066368103027,5.0,5.228668308258056,10.0,2,200.0
2,5.145862436294555,7.0,5.231663513183594,0.0,5.275675535202026,0.0,5.408691644668579,0.0,1,200.0
1,5.347610664367676,29.0,5.170852184295654,3.0,5.1963143825531,3.0,5.191601514816284,3.0,1,200.0
3,5.294382190704345,106.0,5.228273725509643,1.0,5.190910053253174,1.0,5.213522577285767,1.0,2,200.0
3,5.319277811050415,18.8,5.337594270706177,19.4,5.2933434009552,16.6,5.205481100082397,11.2,3,200.0
2,5.226657915115356,54.0,5.185320949554443,5.0,5.260162115097046,5.0,5.259783315658569,9.0,1,200.0
1,5.2049699306488035,27.0,5.158363914489746,6.0,5.247873687744141,5.0,5.196163606643677,10.0,2,200.0
2,5.296366500854492,21.6,5.430580186843872,15.8,5.269721460342407,17.4,5.298408079147339,16.8,1,200.0
2,5.354198455810547,86.0,5.356107902526856,3.0,5.3786070346832275,3.0,5.306957817077636,3.0,3,200.0
1,5.267317628860473,235.0,5.370172357559204,1.0,5.3780066013336185,1.0,5.133257627487183,1.0,3,200.0
3,5.30043249130249,95.0,5.281215667724609,12.0,5.300719690322876,11.0,5.355243444442749,11.0,2,200.0
2,5.2397294521331785,102.0,5.191252660751343,11.0,5.363256645202637,10.0,5.223713207244873,9.0,3,200.0
1,5.186779594421386,58.4,5.184051132202148,11.2,5.334015607833862,11.0,5.210957813262939,15.2,2,200.0
2,5.305217933654785,10.4,5.284874725341797,7.0,5.269344806671143,7.0,5.3811108589172365,7.0,2,200.0
3,5.453695917129517,39.0,5.286879014968872,1.0,5.197173976898194,1.0,5.370880126953125,1.0,2,200.0
1,5.318770408630371,126.6,5.383794927597046,5.0,5.358071660995483,5.0,5.303176736831665,10.0,1,200.0
2,5.213912439346314,64.0,5.256406354904175,16.0,5.200091886520386,15.0,5.265388154983521,13.0,3,200.0
1,5.339822769165039,7.0,5.439588642120361,4.0,5.228834342956543,4.0,5.217610311508179,4.0,3,200.0
2,5.189505195617675,55.4,5.337129211425781,5.0,5.23921570777893,5.0,5.318686580657959,9.0,1,200.0
2,5.1773004055023195,62.6,5.35193452835083,8.0,5.436829614639282,7.0,5.401065731048584,10.0,2,200.0
1,5.338459157943726,43.6,5.290300893783569,12.2,5.361469411849976,11.0,5.2230956077575685,12.6,2,200.0
3,5.264236688613892,45.2,5.208667612075805,8.0,5.200214910507202,7.0,5.168773126602173,9.0,2,200.0
2,5.396662712097168,63.4,5.286992788314819,16.4,5.292304039001465,15.6,5.4180176734924315,23.2,2,200.0
3,5.522216415405273,33.2,5.234752750396728,5.0,5.223066186904907,5.0,5.194915342330932,8.0,1,200.0
2,5.239347648620606,17.2,5.331767463684082,16.0,5.233562660217285,15.0,5.373619937896729,12.0,3,200.0
2,5.2304590225219725,13.0,5.221322917938233,1.0,5.134168434143066,1.0,5.460841417312622,1.0,2,200.0
3,5.33972430229187,3.0,5.230315351486206,1.0,5.156220722198486,1.0,5.155700397491455,1.0,3,200.0
1,5.302937841415405,27.0,5.392620849609375,7.0,5.4409863471984865,5.0,5.342641067504883,10.0,2,200.0
2,5.3403191566467285,81.0,5.180994462966919,3.0,5.291484212875366,3.0,5.138758563995362,3.0,3,200.0
1,5.272812175750732,78.0,5.2589343070983885,3.0,5.326661586761475,3.0,5.478033542633057,3.0,1,200.0
3,5.356748247146607,27.6,5.422843551635742,20.2,5.566700983047485,21.4,5.434431648254394,13.2,3,200.0
1,5.574754810333252,63.0,5.737611436843872,5.0,5.615961503982544,5.0,5.692120695114136,14.0,1,200.0
1,5.695211124420166,131.0,5.459223699569702,5.0,5.243919086456299,4.0,5.27200026512146,10.0,2,200.0
