ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Qubits 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Qubits 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Qubits 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3,Qubits 3
5,4,10.0,10.0,0.1077248859949685,0.0040225982666015,5.0,5.0,0.10367064189193,0.0115532875061035,5.0,5.0,0.0992091698036876,0.0140564441680908,5.0,5.0,0.0947701400207309,0.0175354480743408,10.0,10.0,0.0601470470428466,0.0065107345581054,"{5: 6, 3: 3, 0: 1}",5.0,5.0,0.0830531120300293,0.0115408897399902,"{3: 3, 0: 1, 5: 1}",5.0,5.0,0.0802392959594726,0.0166060924530029,"{3: 3, 1: 1, 2: 1}",5.0,5.0,0.0797102451324462,0.0160367488861084,"{3: 3, 5: 1, 6: 1}"
5,5,9.0,9.0,0.1077832126728775,0.0040228366851806,4.0,4.0,0.1036593990683818,0.0085284709930419,4.0,4.0,0.0992094085797652,0.0115308761596679,4.0,4.0,0.0947251048865364,0.0130412578582763,9.0,9.0,0.0636584758758544,0.0045032501220703,"{2: 5, 6: 3, 1: 1}",4.0,4.0,0.0801534652709961,0.008019208908081,"{2: 2, 1: 1, 6: 1}",4.0,4.0,0.1834468841552734,0.012491226196289,"{3: 2, 4: 1, 5: 1}",4.0,4.0,0.0785143375396728,0.0120472908020019,"{3: 2, 5: 1, 6: 1}"
6,2,10.0,6.0,0.1081565525963093,0.0051372051239013,7.0,3.0,0.1039247434420171,0.0100188255310058,7.0,3.0,0.0994289910477288,0.0110313892364501,7.0,3.0,0.0950500395298624,0.017122745513916,10.0,6.0,0.0619559288024902,0.0040123462677001,"{'1': 5, '5,4': 1}",7.0,3.0,0.0824661254882812,0.0080235004425048,"{'1': 2, '5,4': 1}",7.0,3.0,0.082000732421875,0.0109977722167968,"{'4': 2, '5,3': 1}",7.0,3.0,0.0802164077758789,0.0170488357543945,"{'4': 2, '5,3': 1}"
6,3,9.0,9.0,0.1077827356436667,0.0040020942687988,9.0,9.0,0.1033905095543133,0.0095162391662597,9.0,9.0,0.0987909238018051,0.0060138702392578,9.0,9.0,0.0943987141617347,0.011528730392456,9.0,9.0,0.0621960163116455,0.0040125846862792,"{0: 3, 3: 3, 4: 3}",9.0,9.0,0.0790982246398925,0.0100283622741699,"{0: 3, 3: 3, 4: 3}",9.0,9.0,0.084641695022583,0.0102579593658447,"{3: 3, 4: 3, 5: 3}",9.0,9.0,0.0802099704742431,0.0165321826934814,"{3: 3, 5: 3, 6: 3}"
6,4,12.0,12.0,0.1077003595908753,0.0080280303955078,3.0,3.0,0.1037292292782941,0.0090289115905761,3.0,3.0,0.099325581903353,0.0140464305877685,3.0,3.0,0.0948519976596315,0.0160229206085205,12.0,12.0,0.0601885318756103,0.0080299377441406,"{0: 11, 3: 1}",3.0,3.0,0.0751965045928955,0.0115492343902587,"{0: 2, 3: 1}",3.0,3.0,0.0797927379608154,0.0124976634979248,"{1: 2, 3: 1}",3.0,3.0,0.0802357196807861,0.0150544643402099,"{5: 2, 3: 1}"
6,5,7.0,7.0,0.1078650538624951,0.002509593963623,7.0,7.0,0.1034152388328985,0.0055196285247802,7.0,7.0,0.0990463487932141,0.0120484828948974,7.0,7.0,0.0945840268253433,0.014514684677124,7.0,7.0,0.0617012977600097,0.0035381317138671,"{3: 3, 0: 2, 2: 1, 6: 1}",7.0,7.0,0.0792384147644043,0.0080137252807617,"{3: 3, 0: 2, 2: 1, 6: 1}",7.0,7.0,0.0781371593475341,0.0109965801239013,"{1: 3, 3: 2, 0: 1, 2: 1}",7.0,7.0,0.0887889862060546,0.0120346546173095,"{1: 3, 3: 2, 0: 1, 2: 1}"
6,6,14.0,14.0,0.107583119543959,0.0080020427703857,6.0,6.0,0.1035314450550526,0.0080366134643554,6.0,6.0,0.0990579266084636,0.0100159645080566,6.0,6.0,0.0946200482753261,0.0135450363159179,14.0,14.0,0.0681602954864502,0.0075089931488037,"{3: 6, 6: 5, 0: 1, 1: 1, 5: 1}",6.0,6.0,0.0817503929138183,0.0080466270446777,"{6: 2, 0: 1, 1: 1, 3: 1, 5: 1}",6.0,6.0,0.0804617404937744,0.0135033130645751,"{5: 2, 0: 1, 1: 1, 2: 1, 3: 1}",6.0,6.0,0.0771849155426025,0.0172281265258789,"{5: 2, 0: 1, 1: 1, 2: 1, 3: 1}"
7,2,23.0,7.0,0.108671258065024,0.007519245147705,8.0,4.0,0.1038320048637971,0.0085222721099853,8.0,4.0,0.0992884069879739,0.0074543952941894,8.0,4.0,0.0949547074480021,0.0155134201049804,23.0,7.0,0.1657321453094482,0.0060441493988037,"{'5': 3, '1,3': 2, '3,1': 1, '0,1': 1}",8.0,4.0,0.0779359340667724,0.0093953609466552,"{'0': 3, '1,3': 1}",8.0,4.0,0.0812380313873291,0.0085198879241943,"{'4': 3, '5,3': 1}",8.0,4.0,0.0787293910980224,0.0130631923675537,"{'4': 3, '5,3': 1}"
7,3,26.0,10.0,0.1085305254387766,0.0090076923370361,8.0,4.0,0.1038666306047888,0.0100278854370117,8.0,4.0,0.0993935782212219,0.0120275020599365,8.0,4.0,0.0950004145227299,0.017500877380371,26.0,10.0,0.0681695938110351,0.0080289840698242,"{'5': 5, '1,2': 2, '2,1': 1, '1,0': 1, '1': 1}",8.0,4.0,0.0802030563354492,0.0100171566009521,"{'4': 2, '5,3': 1, '5': 1}",8.0,4.0,0.0798206329345703,0.0132579803466796,"{'2': 2, '1,3': 1, '1': 1}",8.0,4.0,0.0816538333892822,0.0165715217590332,"{'2': 2, '1,3': 1, '1': 1}"
7,4,10.0,10.0,0.1077823652733241,0.0065219402313232,10.0,10.0,0.1033099873103656,0.0085508823394775,10.0,10.0,0.0988714948706578,0.0120532512664794,10.0,10.0,0.0944092990139577,0.0145249366760253,10.0,10.0,0.0657498836517334,0.0035064220428466,"{0: 3, 4: 3, 5: 3, 1: 1}",10.0,10.0,0.0802359580993652,0.0125257968902587,"{0: 3, 4: 3, 5: 3, 1: 1}",10.0,10.0,0.085601806640625,0.0109996795654296,"{0: 3, 1: 3, 3: 3, 2: 1}",10.0,10.0,0.0801753997802734,0.011545181274414,"{3: 3, 4: 3, 5: 3, 6: 1}"
