Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,168.56862415992825,82.56566735440887,5.1575485348541825,-0.3415245174784648,0.01750000000000007,0.016000000000000014,0.019,675.5555555555555,0.00018589936765964581,0.00018589936765964581,0.00018589936765964581,0_1:0.009663791715429804,0_1:391.1111111111111
1,167.31559877725567,36.18921081877344,5.033679234747347,-0.3443687022163673,0.01770000000000005,0.01959999999999995,0.0158,675.5555555555555,0.00042557673910978416,0.00042557673910978416,0.00042557673910978416,1_3:0.010954719254362227; 1_2:0.008738992124613904; 1_0:0.009663791715429804,1_3:405.3333333333333; 1_2:355.55555555555554; 1_0:426.66666666666663
2,295.82853850314274,113.09651882793887,4.862678779210294,-0.3472724723347956,0.009099999999999997,0.009199999999999986,0.009,675.5555555555555,0.0002171488334527897,0.0002171488334527897,0.0002171488334527897,2_1:0.008738992124613904,2_1:320
3,97.38951273229046,140.5764470988201,5.125106201397191,-0.3404418992142746,0.01100000000000001,0.0112,0.010800000000000032,675.5555555555555,0.00027105033185619167,0.00027105033185619167,0.00027105033185619167,3_5:0.008416766136171816; 3_1:0.010954719254362227,3_5:284.44444444444446; 3_1:369.77777777777777
4,56.78842185779342,115.19187191195236,5.159220975747552,-0.33336653711831216,0.011900000000000022,0.0146,0.009199999999999986,675.5555555555555,0.00044323294847247537,0.00044323294847247537,0.00044323294847247537,4_5:0.009912854441012947,4_5:590.2222222222222
5,203.9238668680369,126.18807656784229,4.9786119332552525,-0.3460220316533784,0.012799999999999923,0.015599999999999947,0.01,675.5555555555555,0.0003209450966713925,0.0003209450966713925,0.0003209450966713925,5_6:0.012262560457575011; 5_4:0.009912854441012947; 5_3:0.008416766136171816,5_6:640; 5_4:625.7777777777777; 5_3:320
6,163.48147565394103,213.63296149842347,5.156643619531647,-0.34045439072670325,0.005900000000000016,0.006199999999999983,0.0056,675.5555555555555,0.0002915874431060229,0.0002915874431060229,0.0002915874431060229,6_5:0.012262560457575011,6_5:604.4444444444445
