tqc3,tqc2,tqc1,tqc0,sim
0.05635499954223633,0.01296687126159668,0.01296544075012207,0.00997161865234375,0.0
0.03541731834411621,0.024931907653808594,0.017971515655517578,0.013963460922241211,0.0
0.02892446517944336,0.04040169715881348,0.019968509674072266,0.015475749969482422,0.0
0.027925491333007812,0.025934219360351562,0.018950462341308594,0.010971784591674805,0.0
0.033532142639160156,0.020943880081176758,0.018950223922729492,0.013472557067871094,0.0
0.032912254333496094,0.022939443588256836,0.02094292640686035,0.013959884643554688,0.0
0.026451826095581055,0.020947694778442383,0.020941734313964844,0.013963460922241211,0.0
0.02843499183654785,0.020944595336914062,0.018457889556884766,0.011968135833740234,0.0
0.032428741455078125,0.026929616928100586,0.01695418357849121,0.012478351593017578,0.0
0.02991652488708496,0.02393507957458496,0.020943403244018555,0.014960289001464844,0.0
0.02845001220703125,0.022965192794799805,0.01945972442626953,0.0109710693359375,0.0
0.028434038162231445,0.021942615509033203,0.021942138671875,0.010971546173095703,0.0
0.029439449310302734,0.02094435691833496,0.020459890365600586,0.013962745666503906,0.0
0.016954421997070312,0.013960599899291992,0.010970115661621094,0.010969877243041992,0.0
0.028436660766601562,0.022936582565307617,0.022945165634155273,0.015956640243530273,0.0
0.02493000030517578,0.014959335327148438,0.017952919006347656,0.007978439331054688,0.0
0.035904645919799805,0.0279238224029541,0.02194070816040039,0.011478900909423828,0.0
0.029921293258666992,0.02194356918334961,0.02293705940246582,0.013961553573608398,0.0
0.03296542167663574,0.02193737030029297,0.019948482513427734,0.012968063354492188,0.0
0.031456947326660156,0.021941661834716797,0.024464130401611328,0.01447916030883789,0.0
0.03343629837036133,0.02246856689453125,0.01994943618774414,0.009972095489501953,0.0
0.03191685676574707,0.021942615509033203,0.015980005264282227,0.010969161987304688,0.0
0.024928569793701172,0.017950773239135742,0.015956401824951172,0.009970426559448242,0.0
0.024933576583862305,0.01795196533203125,0.016955852508544922,0.01097249984741211,0.0
0.025929927825927734,0.022939205169677734,0.020941972732543945,0.015465736389160156,0.0
0.03243064880371094,0.02592635154724121,0.01746368408203125,0.013483047485351562,0.0
0.03342175483703613,0.0244598388671875,0.017953157424926758,0.01147770881652832,0.0
0.03442549705505371,0.03792095184326172,0.02094435691833496,0.01196742057800293,0.0
0.03490400314331055,0.026442527770996094,0.016461610794067383,0.015487432479858398,0.0
0.027926921844482422,0.02493143081665039,0.020945072174072266,0.014961004257202148,0.0
0.03494715690612793,0.020944833755493164,0.0194551944732666,0.01196742057800293,0.0
0.030428171157836914,0.019453763961791992,0.02294754981994629,0.015485763549804688,0.0
0.03091716766357422,0.019945383071899414,0.02293705940246582,0.01296687126159668,0.0
0.03391313552856445,0.02644515037536621,0.021474838256835938,0.011968374252319336,0.0
