cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
2,1,5.418551206588745,0.06519603729248047,3.0,0.009497642517089844,0.061064958572387695,3.0,0.00850224494934082,0.06356120109558105,3.0,0.0069811344146728516,0.06290030479431152,3.0
3,1,0.019373178482055664,0.06206917762756348,2.0,0.013179540634155273,0.0725395679473877,2.0,0.012491941452026367,0.06299209594726562,2.0,0.0075342655181884766,0.06209969520568848,5.0
3,2,0.016463756561279297,0.05639147758483887,3.0,0.012535810470581055,0.07253122329711914,3.0,0.011475563049316406,0.06840395927429199,3.0,0.008043289184570312,0.06554222106933594,4.0
4,1,0.018509387969970703,0.054017066955566406,3.0,0.010497331619262695,0.06251335144042969,3.0,0.01009511947631836,0.06537127494812012,3.0,0.006981372833251953,0.061482906341552734,3.0
4,2,0.017963647842407227,0.05995631217956543,3.0,0.013482809066772461,0.06097602844238281,3.0,0.011492013931274414,0.0670018196105957,3.0,0.007501840591430664,0.0609281063079834,4.0
4,3,0.020001649856567383,0.05051708221435547,3.0,0.01508474349975586,0.06411337852478027,3.0,0.014469385147094727,0.06251358985900879,3.0,0.009493827819824219,0.061980485916137695,9.0
5,1,0.013369560241699219,0.06103181838989258,1.0,0.0064868927001953125,0.06551480293273926,1.0,0.005984067916870117,0.06753110885620117,1.0,0.003989219665527344,0.06554293632507324,1.0
5,2,0.02102947235107422,0.04455757141113281,3.0,0.015033483505249023,0.11935257911682129,3.0,0.01248788833618164,0.06248641014099121,3.0,0.010028600692749023,0.06393289566040039,8.0
5,3,0.021116018295288086,0.052144527435302734,2.0,0.014970541000366211,0.06244468688964844,2.0,0.014529228210449219,0.06558108329772949,2.0,0.009499788284301758,0.06296396255493164,11.0
5,4,0.01248931884765625,0.04709887504577637,3.0,0.01248931884765625,0.06127452850341797,3.0,0.010540485382080078,0.0675649642944336,3.0,0.006981372833251953,0.06567001342773438,6.0
6,1,0.021952152252197266,0.06000065803527832,3.0,0.017523765563964844,0.06096053123474121,3.0,0.014040231704711914,0.06897783279418945,3.0,0.010083675384521484,0.06557607650756836,5.0
6,2,0.013469934463500977,0.056977272033691406,2.0,0.009480714797973633,0.06601285934448242,2.0,0.0064868927001953125,0.0699472427368164,2.0,0.012033224105834961,0.06516599655151367,3.0
6,3,0.015042781829833984,0.044028520584106445,3.0,0.012472867965698242,0.06292557716369629,3.0,0.010492801666259766,0.06221747398376465,3.0,0.006995201110839844,0.06499242782592773,9.0
6,4,0.017002344131469727,0.05122256278991699,2.0,0.01300358772277832,0.06257963180541992,2.0,0.012550115585327148,0.06593918800354004,2.0,0.007502079010009766,0.06331253051757812,8.0
6,5,0.011491060256958008,0.04455685615539551,3.0,0.015515327453613281,0.06365752220153809,3.0,0.012998104095458984,0.06553435325622559,3.0,0.010548591613769531,0.06503939628601074,11.0
7,1,0.019001483917236328,0.062048912048339844,3.0,0.011501312255859375,0.06449270248413086,3.0,0.01047825813293457,0.06802773475646973,3.0,0.012979269027709961,0.06595659255981445,3.0
7,2,0.019036293029785156,0.04855751991271973,4.0,0.010513782501220703,0.1239016056060791,4.0,0.009542465209960938,0.06205034255981445,4.0,0.00698089599609375,0.0630028247833252,4.0
7,3,0.016968250274658203,0.05796480178833008,3.0,0.010478019714355469,0.07105565071105957,3.0,0.009530305862426758,0.0677328109741211,3.0,0.01149296760559082,0.06393027305603027,4.0
